Size FindPair_Avg FindPair_Worst FindPairSorted_Avg FindPairSorted_Worst
5 6 7 1 2
10 2 27 1 5
15 4 67 3 6
20 2 117 5 9
25 2 187 5 11
30 37 296 2 24
35 2 413 7 17
40 3 555 2 26
45 5 709 20 25
50 268 870 9 30
55 83 1073 2 30
60 14 1075 13 35
65 14 1413 8 38
70 211 1650 3 39
75 2 2003 21 40
80 102 2111 16 46
85 120 2320 12 52
90 5 2638 15 44
95 12 2652 11 45
100 2 2910 4 61
105 2 3628 17 54
110 25 3735 23 53
115 5 3981 49 49
120 14 4261 46 61
125 15 4735 18 69
115 5 3981 49 49
120 14 4261 46 61
125 15 4735 18 69
130 8 5512 44 77
135 152 5432 9 69
140 171 6132 7 86
145 15 6711 47 80
150 16 6742 9 73
155 13 7340 43 87
500 1470 75577 113 256
