Size Linear_Avg Linear_Worst Binary_Avg Binary_Worst
100 4 83 4 4
200 33 167 4 4
300 76 246 4 5
400 54 332 1 5
500 81 468 6 5
600 97 672 6 12
700 233 763 9 6
800 36 790 4 9
900 202 1135 4 9
1000 433 1148 5 6
1100 102 1116 3 7
1200 195 1181 4 7
1300 35 1552 2 6
1400 55 1821 6 8
1500 45 1597 5 9
1600 46 1474 4 6
1700 76 1550 3 7
1800 223 1765 5 7
1900 49 1897 4 7
2000 16 2301 5 8
2100 13 2269 5 8
2200 7 2377 5 9
2300 52 2419 4 8
2400 152 2554 6 8
2500 117 2641 5 8
2600 58 2758 4 8
2700 46 2896 4 8
2800 12 3570 4 6
5000 224 4646 5 8
