Size,CombSortTime,CombSortSwaps,ShakerSortTime,ShakerSortSwaps,ShellSortHibbardTime,ShellSortHibbardSwaps,ShellSortStandardTime,ShellSortStandardSwaps,ShellSortFibTime,ShellSortFibSwaps
1000,0,1307,11,227788,0,2408,0,2698,0,2227
2000,1,3982,47,1117587,0,7544,0,9295,1,6657
3000,1,7838,111,3107521,1,15018,1,17763,1,13838
4000,2,13070,195,6660674,1,24949,1,32331,2,23460
5000,3,19575,312,12236452,2,37671,2,49528,3,35364
6000,4,27323,639,20321780,3,53184,3,68068,5,49609
7000,5,36367,803,31360081,3,71352,3,89609,5,66542
8000,6,46841,1154,45686789,3,92757,3,123530,6,86464
9000,6,58579,1657,63854951,4,115934,5,151920,7,108802
10000,9,71641,1631,86466888,5,142054,20,189125,12,133628
11000,14,85867,2189,113814457,5,171310,5,220291,8,160686
12000,11,101531,1810,146278502,5,203044,6,264633,9,190493
13000,10,118344,2345,184355112,6,236863,6,306425,10,222901
14000,15,136688,2594,228642242,7,273592,7,353914,11,258323
15000,12,156244,2972,279389492,8,314265,8,401580,12,295931
16000,14,177068,3427,337235993,8,357909,10,482731,14,336721
17000,14,199182,3822,402244587,9,404617,10,536003,13,380051
18000,15,222599,4225,475047064,10,453159,10,599512,16,426716
19000,15,247453,4845,555939455,12,503621,12,657538,16,476069
20000,19,273468,5227,645422416,11,557250,11,741072,16,527471
21000,18,300834,5777,744171587,12,612935,12,828830,17,582201
22000,19,329571,6348,852691519,11,670821,13,900278,20,639236
23000,21,359747,7574,971198303,13,730989,12,972846,23,697670
24000,19,391191,7851,1100008170,14,794550,15,1078123,24,759026
25000,24,423751,8667,1239422765,16,860523,14,1159271,24,823254
26000,21,457687,10482,1390645141,18,930110,22,1252518,30,889719
27000,35,492934,10319,1553856059,17,1002925,17,1333712,24,958279
