t (s),V (mV)
0,18.7979
0.968,18.7456
1.902,18.6927
2.89,18.6325
3.89,18.5771
4.89,18.521
5.89,18.4652
6.891,18.4088
7.89,18.3545
8.89,18.3001
9.89,18.2452
10.891,18.1894
11.891,18.1347
12.89,18.0804
13.89,18.027
14.89,17.9734
15.89,17.9197
16.891,17.8658
17.89,17.8113
18.89,17.759
19.891,17.7048
20.89,17.6532
21.89,17.6
22.891,17.5476
23.89,17.4952
24.89,17.4437
25.89,17.3911
26.891,17.341
27.89,17.2888
28.89,17.2378
29.891,17.1867
30.89,17.1361
31.89,17.085
32.89,17.0343
33.89,16.9838
34.89,16.9311
35.891,16.8838
36.89,16.8341
37.89,16.7852
38.89,16.7343
39.89,16.6851
40.89,16.636
41.891,16.5872
42.89,16.5379
43.89,16.489
44.891,16.4412
45.89,16.3932
46.891,16.3444
47.89,16.2956
48.89,16.2473
49.89,16.1995
50.89,16.1524
51.89,16.1047
52.89,16.0574
53.89,16.0102
54.89,15.9631
55.89,15.917
56.89,15.8708
57.891,15.8267
58.89,15.7801
59.89,15.7341
60.891,15.6902
61.891,15.6441
62.89,15.5993
63.891,15.5543
64.89,15.5093
65.89,15.4625
66.891,15.419
67.89,15.3736
68.89,15.3277
69.89,15.2838
70.89,15.2393
71.89,15.195
72.891,15.1501
73.89,15.1071
74.89,15.0613
75.89,15.0169
76.891,14.9733
77.891,14.9291
78.89,14.886
79.891,14.8417
80.89,14.7989
81.891,14.7555
82.89,14.7123
83.89,14.6696
84.89,14.6263
85.891,14.5831
86.89,14.5416
87.891,14.4992
88.89,14.4557
89.89,14.4141
90.89,14.3727
91.89,14.3309
92.891,14.2888
93.89,14.2468
94.89,14.2055
95.89,14.1638
96.89,14.1228
97.89,14.0812
98.89,14.0405
99.89,13.9983
100.891,13.9582
101.89,13.9175
102.891,13.8771
103.89,13.8347
104.89,13.7943
105.89,13.7509
106.89,13.7114
107.89,13.6712
108.89,13.6302
109.89,13.5906
110.89,13.5516
111.89,13.51
112.89,13.4707
113.89,13.4322
114.89,13.3921
115.89,13.3536
116.89,13.3138
117.89,13.2761
118.89,13.2394
119.89,13.1986
120.89,13.16
121.89,13.123
122.89,13.0839
123.89,13.0458
124.89,13.0094
125.89,12.9716
126.89,12.9339
127.891,12.8962
128.89,12.8585
129.89,12.8215
130.891,12.7847
131.89,12.747
132.891,12.711
133.89,12.6749
134.89,12.639
135.89,12.6018
136.891,12.5647
137.89,12.5307
138.89,12.4969
139.891,12.4597
140.89,12.4262
141.89,12.3908
142.89,12.3551
143.891,12.32
144.89,12.2851
145.89,12.25
146.891,12.2146
147.89,12.1805
148.89,12.1462
149.891,12.1102
150.89,12.0771
151.89,12.0418
152.89,12.0074
153.89,11.973
154.89,11.9389
155.89,11.9036
156.89,11.8704
157.89,11.8365
158.891,11.8027
159.89,11.7683
160.89,11.7347
161.891,11.7009
162.89,11.6684
163.89,11.6348
164.891,11.6
165.891,11.5674
166.89,11.5345
167.891,11.5006
168.89,11.4681
169.89,11.436
170.891,11.4029
171.89,11.37
172.891,11.337
173.891,11.3048
174.89,11.2729
175.89,11.2408
176.89,11.2087
177.891,11.1769
178.89,11.1445
179.89,11.1122
180.89,11.0807
181.891,11.0487
182.89,11.0167
183.891,10.9852
184.89,10.9537
185.89,10.9221
186.89,10.8911
187.891,10.8596
188.89,10.8281
189.89,10.7976
190.89,10.7666
191.89,10.736
192.89,10.7049
193.89,10.6753
194.89,10.6444
195.89,10.6142
196.889,10.5845
197.889,10.5548
198.889,10.5236
199.889,10.4949
200.889,10.4646
201.889,10.4342
202.889,10.404
203.889,10.3749
204.889,10.3453
205.889,10.3152
206.889,10.2851
207.889,10.2571
208.889,10.2275
209.889,10.1981
210.889,10.1694
211.889,10.1399
212.889,10.1111
213.889,10.0811
214.889,10.0532
215.889,10.0246
216.89,9.9961
217.891,9.9684
218.89,9.9395
219.89,9.9115
220.89,9.8836
221.89,9.8551
222.891,9.8268
223.89,9.7994
224.891,9.7716
225.89,9.7434
226.891,9.7169
227.89,9.6884
228.891,9.6604
229.891,9.6337
230.891,9.6057
231.89,9.5798
232.89,9.5515
233.891,9.5203
234.891,9.4962
235.89,9.4688
236.89,9.4429
237.89,9.4158
238.891,9.3882
239.891,9.3625
240.891,9.3357
241.89,9.3096
242.89,9.2832
243.891,9.257
244.89,9.2302
245.891,9.2055
246.89,9.1783
247.891,9.1473
248.891,9.1195
249.89,9.0986
250.89,9.0728
251.891,9.0493
252.891,9.0242
253.89,8.998
254.89,8.9732
255.89,8.9473
256.89,8.9224
257.89,8.898
258.89,8.8733
259.891,8.8473
260.891,8.8221
261.89,8.796
262.89,8.771
263.891,8.7449
264.891,8.7207
