t (s),V (mV)
0,19.9714
0.966,19.9404
1.932,19.9112
2.93,19.8742
3.93,19.8359
4.93,19.7968
5.93,19.7584
6.93,19.7182
7.931,19.6827
8.931,19.6428
9.93,19.6051
10.93,19.5663
11.93,19.5274
12.93,19.4835
13.931,19.4493
14.931,19.4142
15.93,19.3772
16.93,19.3426
17.93,19.3091
18.93,19.2691
19.93,19.2218
20.93,19.1936
21.93,19.1621
22.93,19.1243
23.931,19.0939
24.93,19.057
25.93,19.0206
26.93,18.984
27.93,18.9475
28.93,18.9133
29.931,18.8795
30.93,18.8453
31.93,18.8109
32.93,18.776
33.93,18.741
34.931,18.7088
35.93,18.6741
36.93,18.6407
37.93,18.6064
38.931,18.5739
39.931,18.5401
40.93,18.5062
41.93,18.4721
42.931,18.4404
43.931,18.4075
44.93,18.3744
45.93,18.3415
46.93,18.3068
47.93,18.2755
48.931,18.2441
49.93,18.2098
50.93,18.1786
51.93,18.1455
52.93,18.1136
53.931,18.0826
54.93,18.0496
55.93,18.018
56.931,17.9865
57.93,17.9552
58.93,17.923
59.931,17.8919
60.931,17.8623
61.93,17.8295
62.931,17.7987
63.931,17.7673
64.931,17.7371
65.93,17.7066
66.93,17.6756
67.93,17.6458
68.93,17.6131
69.93,17.5834
70.93,17.5529
71.93,17.5241
72.93,17.4929
73.93,17.4633
74.93,17.4336
75.93,17.4025
76.93,17.3749
77.93,17.3453
78.93,17.3163
79.93,17.2885
80.93,17.2593
81.93,17.2309
82.93,17.203
83.93,17.174
84.93,17.1457
85.93,17.1162
86.93,17.0873
87.931,17.0585
88.931,17.0299
89.93,17.0004
90.93,16.9715
91.931,16.9434
92.931,16.9148
93.93,16.8857
94.93,16.858
95.93,16.8295
96.93,16.8008
97.93,16.7727
98.93,16.7447
99.93,16.7171
100.93,16.6881
101.93,16.6606
102.931,16.6339
103.931,16.6058
104.931,16.5777
105.931,16.5505
106.93,16.52
107.931,16.4931
108.931,16.4655
109.931,16.4375
110.931,16.4092
111.931,16.3824
112.931,16.3537
113.931,16.3255
114.931,16.2992
115.931,16.2712
116.931,16.244
117.931,16.2174
118.931,16.1899
119.93,16.1643
120.93,16.1379
121.931,16.111
122.93,16.0849
123.93,16.057
124.931,16.0317
125.931,16.0055
126.93,15.9807
127.93,15.9541
128.93,15.928
129.931,15.9021
130.931,15.8755
131.931,15.8493
132.93,15.8261
133.93,15.7993
134.93,15.7736
135.93,15.7478
136.93,15.7226
137.931,15.6971
138.931,15.6722
139.931,15.6483
140.931,15.6235
141.93,15.5988
142.931,15.5732
143.931,15.5475
144.931,15.5222
