t (s),V (mV)
0,20.7675
0.968,20.7492
1.9,20.7432
2.868,20.7257
3.849,20.7054
4.85,20.6857
5.849,20.6709
6.85,20.6501
7.849,20.6338
8.849,20.6152
9.85,20.5939
10.849,20.5765
11.85,20.5563
12.849,20.5395
13.849,20.52
14.849,20.5027
15.849,20.4833
16.849,20.4659
17.849,20.448
18.85,20.4275
19.849,20.4119
20.849,20.3935
21.849,20.3771
22.849,20.3571
23.849,20.3406
24.849,20.3219
25.849,20.3056
26.849,20.2856
27.849,20.2687
28.849,20.2494
29.85,20.2315
30.849,20.215
31.85,20.1969
32.849,20.1804
33.849,20.1617
34.849,20.1445
35.849,20.1276
36.849,20.1111
37.849,20.094
38.85,20.0766
39.849,20.0585
40.849,20.041
41.849,20.0244
42.849,20.009
43.849,19.994
44.849,19.9772
45.85,19.9601
46.849,19.943
47.849,19.9262
48.849,19.911
49.849,19.8937
50.85,19.8768
51.849,19.8612
52.849,19.8435
53.85,19.8274
54.849,19.8117
55.849,19.7961
56.85,19.7791
57.849,19.7635
58.85,19.7467
59.849,19.7312
60.849,19.7148
61.849,19.7003
62.849,19.6842
63.849,19.6687
64.849,19.6526
65.849,19.6374
66.85,19.6204
67.849,19.606
68.85,19.59
69.849,19.5756
70.85,19.5586
71.849,19.5435
72.849,19.5273
73.849,19.5125
74.85,19.4966
75.849,19.482
76.85,19.4664
77.849,19.4513
78.849,19.4363
79.849,19.4213
80.85,19.4049
81.849,19.3901
82.849,19.3751
83.849,19.3597
84.849,19.3442
85.849,19.3299
86.85,19.3146
87.849,19.3
88.849,19.2842
89.849,19.27
90.849,19.254
91.849,19.2397
92.849,19.224
93.849,19.2098
94.85,19.1943
95.849,19.1808
96.85,19.1652
97.849,19.1508
98.849,19.1354
99.849,19.1221
100.85,19.1063
101.849,19.0927
102.849,19.0764
103.849,19.0643
104.85,19.048
105.849,19.0345
106.85,19.0188
107.849,19.0063
108.849,18.9909
109.849,18.9776
110.849,18.9623
111.85,18.9467
112.849,18.9341
113.849,18.9183
114.849,18.904
115.849,18.8882
116.849,18.8744
117.85,18.8586
118.849,18.8451
119.849,18.8306
120.849,18.817
121.849,18.8023
122.849,18.7888
123.85,18.7746
124.849,18.7608
125.85,18.7462
126.849,18.7328
127.85,18.7189
128.849,18.7059
129.85,18.6901
130.849,18.6792
131.85,18.6638
132.849,18.6502
133.849,18.6364
134.849,18.6227
135.849,18.6084
136.849,18.5946
137.85,18.5793
138.849,18.5665
139.849,18.5527
140.849,18.5386
141.85,18.5246
142.849,18.5107
143.85,18.4965
144.849,18.4837
145.849,18.4699
146.849,18.4569
147.85,18.4414
148.849,18.4288
149.85,18.4151
150.849,18.4007
151.849,18.3864
152.849,18.3734
153.849,18.3592
154.849,18.3462
155.849,18.3319
156.849,18.3187
157.849,18.3052
158.849,18.2916
159.85,18.2778
160.849,18.2651
161.849,18.2507
162.849,18.2361
163.85,18.2238
164.849,18.2098
165.849,18.1962
166.85,18.1834
167.849,18.1696
168.85,18.156
169.849,18.1433
170.849,18.1313
171.849,18.1176
172.849,18.1062
173.849,18.0936
174.849,18.0818
175.849,18.0683
176.849,18.0575
177.85,18.0459
178.849,18.031
179.85,18.0184
180.849,18.0064
181.85,17.9931
182.849,17.9805
183.85,17.967
184.849,17.9545
185.85,17.9418
186.849,17.9278
187.85,17.9162
188.849,17.9031
189.85,17.8905
190.849,17.8771
191.85,17.8642
192.849,17.8517
193.85,17.8391
194.849,17.8274
195.85,17.8156
196.849,17.8017
197.85,17.788
198.849,17.7763
199.85,17.7625
200.849,17.7507
201.85,17.7372
202.849,17.7249
203.85,17.712
204.849,17.6994
205.85,17.6872
206.849,17.675
207.849,17.6614
208.85,17.6488
209.849,17.6363
210.85,17.6233
211.849,17.6105
212.85,17.5985
213.849,17.5863
214.849,17.5731
215.85,17.5602
216.849,17.5487
217.85,17.5349
218.849,17.5233
219.849,17.5116
220.85,17.4984
221.849,17.4854
222.849,17.4724
223.849,17.4605
224.85,17.4468
225.849,17.4343
226.849,17.4208
227.849,17.409
228.849,17.3948
229.849,17.3842
230.85,17.371
231.849,17.36
232.85,17.3463
233.849,17.3328
234.85,17.3197
235.849,17.3094
236.85,17.2948
237.849,17.2814
238.85,17.2694
239.849,17.2584
240.85,17.246
241.849,17.2333
242.85,17.2187
243.849,17.2082
244.849,17.1938
245.849,17.1836
246.85,17.1688
247.849,17.158
248.849,17.1445
249.849,17.1333
250.849,17.1177
251.849,17.1057
252.85,17.0913
253.849,17.0811
254.849,17.0678
255.849,17.0553
256.85,17.0403
257.849,17.0295
258.85,17.0154
259.849,17.004
260.85,16.9903
261.849,16.9788
262.85,16.9656
263.849,16.954
264.85,16.9423
265.849,16.9301
266.849,16.9183
267.85,16.9052
268.849,16.8924
269.85,16.8808
270.849,16.8691
271.85,16.8559
272.849,16.8443
273.85,16.8321
274.849,16.8207
275.85,16.807
276.849,16.7944
277.85,16.7827
278.849,16.7702
279.85,16.7571
280.849,16.7447
281.85,16.7338
282.849,16.7217
283.85,16.71
284.849,16.6985
285.85,16.6864
286.849,16.6746
287.85,16.6624
288.849,16.6503
289.85,16.6393
290.849,16.6272
291.85,16.6161
292.849,16.6036
293.85,16.5922
294.849,16.5803
295.85,16.5684
296.849,16.5563
297.85,16.5444
298.849,16.5325
299.85,16.5209
300.849,16.5088
301.85,16.4976
302.849,16.4854
303.85,16.475
304.849,16.4634
305.85,16.4516
306.849,16.4406
307.85,16.4281
308.849,16.4176
309.85,16.4051
310.849,16.3932
311.85,16.381
312.849,16.3695
313.85,16.3569
314.849,16.3454
315.85,16.3343
316.849,16.3223
317.85,16.3101
318.851,16.3
319.849,16.286
320.849,16.2754
321.85,16.2626
322.849,16.251
323.85,16.2391
324.849,16.2269
325.85,16.2156
326.849,16.2032
327.849,16.1927
328.85,16.1809
329.849,16.1686
330.85,16.1586
331.849,16.146
332.85,16.1359
333.849,16.1252
334.85,16.1131
335.849,16.1003
336.849,16.0881
337.85,16.0783
338.849,16.0663
339.85,16.0552
340.849,16.0438
341.85,16.0338
342.849,16.0209
343.85,16.0106
344.85,15.9999
345.849,15.9872
346.849,15.9747
347.85,15.9652
348.849,15.9515
349.85,15.9421
350.849,15.9301
351.85,15.9197
352.849,15.9067
353.849,15.8958
354.85,15.8856
355.849,15.8723
356.85,15.862
357.849,15.8486
358.849,15.8371
359.85,15.8269
360.849,15.8147
361.85,15.8035
362.849,15.7917
363.849,15.7802
364.85,15.7685
365.849,15.7568
366.85,15.7458
367.849,15.7345
368.85,15.7225
369.849,15.7113
370.85,15.7005
371.849,15.6888
372.85,15.6784
373.849,15.6672
374.85,15.6553
375.849,15.644
376.85,15.6328
377.849,15.6227
378.85,15.6111
379.849,15.6
380.85,15.5882
381.849,15.5783
382.85,15.5662
383.849,15.5568
384.849,15.5448
385.849,15.5352
386.85,15.5238
387.849,15.5144
388.85,15.5019
389.849,15.4929
390.85,15.4809
391.849,15.4718
392.849,15.4618
393.85,15.45
394.849,15.441
395.85,15.4284
396.85,15.4182
397.849,15.4099
398.849,15.3996
399.85,15.3868
400.849,15.3784
401.849,15.367
402.85,15.355
403.849,15.3457
404.85,15.3331
405.849,15.3233
406.849,15.3126
407.85,15.2994
408.849,15.291
409.849,15.2806
410.849,15.2702
411.849,15.2596
412.85,15.2461
413.849,15.2379
414.85,15.2245
415.849,15.2158
416.85,15.203
417.849,15.1935
418.849,15.1846
419.85,15.1714
420.849,15.1621
421.849,15.1522
422.85,15.1394
423.849,15.1307
424.85,15.1178
425.849,15.1097
426.85,15.0967
427.849,15.088
428.849,15.0763
429.85,15.0639
430.849,15.0548
431.849,15.0441
432.85,15.0337
433.849,15.0235
434.849,15.0128
435.85,15.0012
436.849,14.9916
437.85,14.9807
438.849,14.9695
439.849,14.9587
440.851,14.9478
441.849,14.939
442.849,14.9285
443.85,14.9173
444.849,14.9073
445.85,14.8959
446.849,14.8858
447.85,14.8743
448.849,14.8639
449.85,14.853
450.849,14.842
451.85,14.8327
452.849,14.8221
453.85,14.811
454.849,14.8017
455.85,14.7907
456.849,14.7788
457.849,14.7684
458.85,14.7575
459.849,14.7463
460.849,14.7353
461.849,14.7251
462.85,14.7152
463.849,14.7047
464.849,14.6935
465.85,14.684
466.849,14.6735
467.849,14.6632
468.849,14.6528
469.849,14.6424
470.85,14.6326
471.849,14.622
472.85,14.6126
473.849,14.601
474.85,14.5917
475.849,14.5806
476.85,14.5704
477.849,14.5596
478.849,14.5484
479.849,14.5382
480.85,14.5285
481.849,14.518
482.85,14.5081
483.849,14.4973
484.849,14.487
485.85,14.4771
486.849,14.4654
487.849,14.4539
488.849,14.4423
489.849,14.4315
490.85,14.4221
491.849,14.4088
492.849,14.3965
493.849,14.3856
494.85,14.3765
495.849,14.3647
496.849,14.3541
497.849,14.3423
498.849,14.3318
499.849,14.3213
500.849,14.3113
501.849,14.301
502.85,14.291
503.849,14.2809
504.85,14.2697
505.849,14.2611
506.849,14.2514
507.85,14.2409
508.849,14.2314
509.849,14.2212
510.849,14.2117
511.849,14.2026
512.849,14.1931
513.849,14.1835
514.85,14.1733
515.849,14.1646
516.849,14.1537
517.849,14.1443
518.85,14.1338
519.849,14.1237
520.849,14.1142
521.849,14.1036
522.849,14.0937
523.849,14.0837
