t,c	ln(p-p_пр)/(p_0-p_пр)
0	-1.678742617
1	-1.693452037
1	-1.708617964
1	-1.724265782
2	-1.740422943
2	-1.757119188
2	-1.774386804
2	-1.792260912
2	-1.810779803
2	-1.829985322
3	-1.84992331
3	-1.870644113
3	-1.892203187
3	-1.914661786
3	-1.938087787
4	-1.962556656
4	-1.988152595
4	-2.014969915
4	-2.043114685
4	-2.072706727
4	-2.10388205
4	-2.136795841
4	-2.171626172
4	-2.208578646
4	-2.247892267
4	-2.289846953
4	-2.334773272
5	-2.383065233
5	-2.435197361
5	-2.491747898
5	-2.55343096
5	-2.621142136
5	-2.6960249
5	-2.779570338
5	-2.873772504
6	-2.981381301
6	-3.106336991
6	-3.254569401
6	-3.435604511
6	-3.666210784
7	-3.980287434
7	-4.464892791
7	-5.514930314
